Date,Count
2021-05-01,1
2021-04-30,148
2021-04-29,84
2021-04-28,124
2021-04-27,144
2021-04-26,90
2021-04-25,55
2021-04-24,85
2021-04-23,83
2021-04-22,54
2021-04-21,80
2021-04-20,83
2021-04-19,119
2021-04-18,65
2021-04-17,127
2021-04-16,145
2021-04-15,111
2021-04-14,66
2021-04-09,138
2021-04-08,167
2021-04-07,216
2021-04-06,104
2021-04-05,95
2021-04-04,40
2021-04-03,79
2021-04-02,98
2021-04-01,231
2021-03-31,233
2021-03-30,114
2021-03-29,170
2021-03-28,49
2021-03-27,27
2021-03-17,189
2021-03-16,353
2021-03-15,260
2021-03-14,289
2021-03-13,140
2021-03-12,308
2021-03-11,553
2021-03-10,480
2021-03-09,397
2021-03-08,184
2021-03-07,23
2021-03-05,42
2021-03-04,181
2021-03-03,184
2021-03-02,258
2021-02-28,21
2021-02-27,68
2021-02-26,122
2021-02-25,113
2021-02-24,90
2021-02-23,109
2021-02-22,319
2021-02-21,124
2021-02-20,167
2021-02-19,342
2021-02-18,351
2021-02-17,121
2021-02-16,83
2021-02-15,157
2021-02-14,156
2021-02-13,151
2021-02-12,168
2021-02-11,179
2021-02-10,100
2021-02-09,75
2021-02-08,75
2021-02-07,3
2021-02-04,698
2021-02-03,276
2021-02-02,556
2021-02-01,338
2021-01-31,291
2021-01-30,572
2021-01-29,678
2021-01-28,2711
2021-01-27,1037
2021-01-26,480
2021-01-25,523
2021-01-24,176
2021-01-23,183
2021-01-22,326
2021-01-21,154
2021-01-20,118
2021-01-19,124
2021-01-18,162
2021-01-17,111
2021-01-16,103
2021-01-15,146
2021-01-14,125
2021-01-13,105
2021-01-12,67
2021-01-11,69
2021-01-10,72
2021-01-09,50
2021-01-08,69
2021-01-07,57
2021-01-06,52
2021-01-05,100
2021-01-04,83
2021-01-03,69
2021-01-02,61
2021-01-01,50
2020-12-31,118
2020-12-30,68
2020-12-29,78
2020-12-28,83
2020-12-27,45
2020-12-26,87
2020-12-25,47
2020-12-24,85
2020-12-23,86
2020-12-22,67
2020-12-21,70
2020-12-20,51
2020-12-19,23
2020-12-18,59
2020-12-17,44
2020-12-16,107
2020-12-15,63
2020-12-14,76
2020-12-13,93
2020-12-12,48
2020-12-11,100
2020-12-10,87
2020-12-09,97
2020-12-08,134
2020-12-07,84
2020-12-06,96
2020-12-05,57
2020-12-04,66
2020-12-03,67
2020-12-02,175
2020-12-01,143
2020-11-30,172
2020-11-29,83
2020-11-28,111
2020-11-27,177
2020-11-26,131
2020-11-25,145
2020-11-24,92
2020-11-23,75
2020-11-22,33
2020-11-21,58
2020-11-20,73
2020-11-19,67
2020-11-18,64
2020-11-17,39
2020-11-16,31
2020-11-15,31
2020-11-14,46
2020-11-13,52
2020-11-12,48
2020-11-11,33
2020-11-10,41
2020-11-09,53
2020-11-08,34
2020-11-07,15
2020-11-06,12
2020-11-05,3
2020-11-04,40
2020-11-03,46
2020-11-02,41
2020-11-01,30
2020-10-31,47
2020-10-30,46
2020-10-29,51
2020-10-28,46
2020-10-27,54
2020-10-26,41
2020-10-25,20
2020-10-24,28
2020-10-23,51
2020-10-22,54
2020-10-21,83
2020-10-20,54
2020-10-19,40
2020-10-18,27
2020-10-17,57
2020-10-16,59
2020-10-15,55
2020-10-14,73
